sku,materials,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
10-13-star,0101*1,0500*1,0300*1,0503*1,,,,,,,
4b-abro,0000*1,1104*1,1113*1,1108*1,1111*1,1112*1,0500*1,,,,
4b-ace4,0000*1,1110*1,1109*1,1108*1,1107*1,0500*1,,,,,
4b-ace6,0000*1,1110*1,1109*1,1108*1,1103*1,1112*1,1107*1,0500*1,,,
4b-agend,0000*1,1110*2,1109*2,1108*2,1113*1,0500*1,,,,,
4b-almd,0000*1,1101*1,1111*1,1108*1,1114*1,1112*1,0500*1,,,,
4b-andro,0000*1,1105*1,1115*1,1114*1,0500*1,,,,,,
4b-angy,0000*1,1112*1,1107*1,1105*1,0500*1,,,,,,
4b-aro,0000*1,1104*1,1113*1,1108*1,1109*1,1110*1,0500*1,,,,
4b-aroace,0000*1,1102*1,1103*1,1108*1,1105*1,1106*1,0500*1,,,,
4b-berri,0000*1,1106*1,1105*1,1108*1,1114*1,1107*1,0500*1,,,,
4b-bi3,0000*1,1112*1,1107*1,1106*1,0500*1,,,,,,
4b-bi5,0000*1,1112*2,1107*1,1106*2,0500*1,,,,,,
4b-bigend,0000*1,1112*1,1103*1,1108*1,1114*1,1106*1,0500*1,,,,
4b-cetero4,0000*1,1103*1,1104*1,1108*1,1110*1,0500*1,,,,,
4b-cetero5,0000*1,1103*1,1104*1,1112*1,1108*1,1110*1,0500*1,,,,
4b-enby,0000*1,1103*1,1108*1,1107*1,1110*1,0500*1,,,,,
4b-frisk,0000*1,1106*3,1112*2,0507*1,,,,,,,
4b-gay5,0000*1,1104*1,1113*1,1108*1,1105*1,1106*1,0500*1,,,,
4b-gaybo,0000*1,1101*1,1112*1,1108*1,1105*1,1108*1,0500*1,,,,
4b-gfluid,0000*1,1112*1,1108*1,1107*1,1110*1,1106*1,0500*1,,,,
4b-gflux,0000*1,1112*1,1111*1,1109*1,1105*1,1106*1,1103*1,,,,
4b-gneut,0000*1,1103*1,1108*1,1113*1,1104*1,0500*1,,,,,
4b-gqueer,0000*1,1114*1,1108*1,1113*1,0500*1,,,,,,
4b-gyne,0000*1,1111*1,1115*1,1113*1,0500*1,,,,,,
4b-intsex,0000*1,1103*2,1107*1,0500*1,,,,,,,
